id,ra,dec,ra_mag,dec_mag
12127906,29.710205,81.697731,29.830847,81.685196
12127907,29.94643,81.650085,30.069408,81.637154
12127908,28.911779,81.660011,29.037128,81.647942
12127909,29.008251,81.665115,29.130402,81.65284
12127910,28.810217,81.616325,28.933874,81.604515
12127911,28.760223,81.618126,28.884199,81.606293
12127912,28.801571,81.606453,28.925724,81.594955
12127913,29.556963,81.546165,29.681627,81.53537
12127914,29.518353,81.529182,29.643929,81.51841
12127915,29.469931,81.582253,29.595684,81.570755
12127916,29.790565,81.611748,29.91206,81.598679
12127917,29.648989,81.576622,29.773096,81.56498
12127918,27.050596,81.531212,27.173,81.518311
12127919,26.959742,81.605301,27.085005,81.594414
12127920,27.016737,81.449203,27.13928,81.436531
12127921,27.178621,81.440994,27.301882,81.428352
12127922,27.183908,81.450211,27.307819,81.437515
12127923,27.203352,81.654266,27.326782,81.642433
12127924,27.190729,81.653603,27.313776,81.641693
12127925,27.320765,81.644455,27.442368,81.632668
12127926,28.213692,81.581558,28.346746,81.569214
6153565,16.970793,83.206192,17.187557,83.201347
6153566,16.975645,83.21006,17.192749,83.205231
6153567,16.957726,83.202751,17.174675,83.197975
6153568,17.008993,83.206459,17.225853,83.201744
6153569,16.983734,83.207008,17.201122,83.202141
6153570,16.567936,83.23037,16.783365,83.22683
6153571,16.475023,83.2304,16.690514,83.227341
6153572,16.572317,83.234726,16.785261,83.231255
6153573,16.50181,83.239151,16.717415,83.235954
6153574,16.578228,83.22036,16.793915,83.216812
6153575,16.475788,83.244598,16.68931,83.241531
6153576,16.73632,83.22702,16.949619,83.223106
6153577,16.705406,83.208839,16.920528,83.204651
6153578,16.707165,83.209282,16.923006,83.205025
6153579,16.821053,83.214165,17.033949,83.210251
6153580,16.435055,83.230812,16.651131,83.227394
6153581,16.237041,83.200562,16.454962,83.19693
6153582,16.413107,83.19236,16.631157,83.18856
6153583,16.336302,83.190712,16.553986,83.186821
6153584,16.365042,83.201965,16.582037,83.198082
6153585,16.361845,83.202408,16.578331,83.198601
28483,2.372777,80.457298,2.463828,80.44693
28484,2.143218,80.437172,2.222672,80.427444
28485,2.227234,80.408264,2.309103,80.398247
28486,2.14364,80.442123,2.222905,80.432426
28487,2.470449,80.441216,2.559687,80.43119
28488,2.584202,80.39843,2.670634,80.389282
28489,2.601029,80.422699,2.689184,80.413734
28490,2.763161,80.396141,2.850427,80.387009
28491,1.99896,80.720642,2.100666,80.710182
28492,2.121936,80.499268,2.203332,80.489967
28493,2.131164,80.49028,2.212483,80.481003
28494,2.105597,80.476875,2.185039,80.467308
28495,2.150412,80.473831,2.229829,80.464279
28496,2.428726,80.455994,2.519765,80.445633
28497,1.997745,80.718422,2.099427,80.707962
28498,2.971797,80.605598,3.070312,80.595566
28499,2.299209,80.484924,2.382472,80.475471
28500,2.525951,80.484901,2.622727,80.474434
28501,2.561405,80.490501,2.658895,80.480476
28502,2.687491,80.49572,2.787068,80.486053
28503,4.760766,80.642647,4.862489,80.63427
20828194,11.47405,80.425224,11.565989,80.419075
20828195,11.482136,80.4245,11.574284,80.418228
20828196,11.554371,80.399216,11.643937,80.392517
20828197,11.569743,80.398216,11.659582,80.391457
20828198,11.554115,80.388702,11.644558,80.381836
20828199,11.555059,80.38871,11.64571,80.381905
20828200,11.483073,80.412109,11.576738,80.405807
20828201,11.765404,80.425285,11.848101,80.418556
20828202,11.64378,80.380417,11.729948,80.373436
20828203,11.620457,80.371338,11.706699,80.36438
20828204,11.282017,80.491272,11.372083,80.486084
20828205,11.337836,80.486839,11.42786,80.481644
20828206,11.369257,80.484627,11.459206,80.479233
20828207,11.314823,80.482986,11.404801,80.477798
20828208,11.348724,80.500252,11.437786,80.49469
20828209,11.33721,80.486473,11.427389,80.481171
20828210,11.420088,80.485298,11.507184,80.479721
20828211,11.339459,80.484985,11.429461,80.479706
20828212,11.430682,80.479118,11.518149,80.473541
20828213,11.435033,80.476036,11.524941,80.470619
20828214,11.435412,80.477852,11.522766,80.472275
3119957,25.352589,82.76326,25.517494,82.751015
3119958,25.536983,82.787849,25.702168,82.775696
3119959,27.865772,82.84552,27.992535,82.833069
3119960,27.15209,82.816025,27.277054,82.803574
3119961,27.263496,82.856903,27.388023,82.8442
3119962,28.334503,82.828217,28.459162,82.815224
3119963,28.301249,82.826126,28.424803,82.812668
3119964,28.338764,82.826935,28.462751,82.813469
3119965,28.345694,82.815666,28.469358,82.802277
3119966,27.387745,82.826324,27.506678,82.813911
3119967,27.386717,82.826111,27.50598,82.813728
3119968,27.622471,82.815605,27.748413,82.803062
3119969,27.633303,82.798271,27.760101,82.784851
3119970,27.627922,82.798096,27.754711,82.784729
3119971,27.815969,82.804619,27.943047,82.791611
3119972,27.815208,82.804649,27.941442,82.791687
3119973,27.458158,82.671677,27.58919,82.658554
3119974,27.440166,82.670982,27.571226,82.657936
3119975,27.537209,82.783913,27.659389,82.770325
3119976,28.926773,82.837952,29.059057,82.824814
3119977,29.193619,82.806976,29.321718,82.793579
9160419,34.15313,81.969589,34.256676,81.952957
9160420,37.837715,81.975555,37.896637,81.958641
9160421,37.687885,81.907547,37.750355,81.890701
9160422,38.203262,81.934044,38.263294,81.916878
9160423,37.820213,81.885056,37.88184,81.868416
9160424,37.989712,81.889252,38.050732,81.872536
9160425,37.81794,81.886414,37.879341,81.869888
9160426,37.684475,81.883728,37.747135,81.867363
9160427,37.876171,81.881172,37.937771,81.864532
9160428,37.951645,81.959846,38.013664,81.942917
9160429,37.952938,81.969841,38.015034,81.952927
9160430,37.835617,81.928185,37.894363,81.910652
9160431,37.798759,81.905464,37.859413,81.88855
9160432,37.796551,81.904495,37.856556,81.887634
9160433,37.839264,81.901855,37.899887,81.884949
9160434,37.801167,81.906845,37.861828,81.889923
9160435,38.308735,81.94236,38.365227,81.925354
9160436,37.844048,81.907852,37.904716,81.890961
9160437,37.908272,81.899269,37.969044,81.8825
9160438,37.917725,81.8927,37.978451,81.875923
9160439,37.893127,81.892319,37.953514,81.875565
28504,4.546099,80.551399,4.644674,80.54319
28505,3.838015,80.404984,3.923586,80.397087
28506,3.833662,80.405663,3.919404,80.397697
28507,4.064661,80.448357,4.148492,80.439484
28508,4.896778,80.700928,5.001802,80.691658
28509,4.930502,80.700127,5.034725,80.690773
28510,5.027875,80.669266,5.132446,80.660439
28511,4.893541,80.672035,4.998046,80.663231
28512,5.036642,80.664558,5.141279,80.655815
28513,5.010791,80.676224,5.115111,80.667442
28514,5.019266,80.668037,5.123654,80.659126
28515,5.247964,80.673508,5.349097,80.664703
28516,4.98019,80.598763,5.082655,80.590233
28517,5.394694,80.576286,5.493218,80.567924
28518,5.38539,80.572235,5.484279,80.564079
28519,5.393419,80.615334,5.492115,80.607246
28520,5.391336,80.618019,5.490003,80.609871
28521,5.37667,80.618538,5.474828,80.610428
28522,5.205783,80.525223,5.302925,80.517311
28523,5.118161,80.511635,5.217182,80.503777
28524,5.057449,80.508797,5.156369,80.501167
20828215,11.48851,80.460861,11.57604,80.455101
20828216,11.37018,80.451637,11.463069,80.446136
20828217,11.374773,80.444923,11.469689,80.439301
20828218,11.376961,80.426781,11.473725,80.421005
20828219,11.352668,80.428734,11.449715,80.422874
20828220,11.388457,80.431679,11.482654,80.426064
20828221,11.682594,80.439583,11.766109,80.433189
20828222,11.676436,80.439911,11.760332,80.433472
20828223,11.591584,80.416336,11.67964,80.409706
20828224,11.811561,80.426643,11.89427,80.419891
20828225,11.174812,80.16571,11.257114,80.15847
20828226,11.146122,80.128525,11.226981,80.121048
20828227,11.229222,80.122871,11.310943,80.115303
20828228,10.930041,80.345467,11.013572,80.338219
20828229,11.296118,80.39624,11.391015,80.388954
20828230,10.817327,80.253296,10.906267,80.246292
20828231,11.407247,80.21611,11.491282,80.210098
20828232,11.395759,80.196785,11.478966,80.190567
20828233,11.366253,80.172493,11.447829,80.165977
20828234,11.247251,80.11319,11.32988,80.104988
20828235,11.649143,80.151756,11.728155,80.144493
15057700,3.732619,80.431366,3.821742,80.423477
15057701,3.727792,80.437202,3.816551,80.429161
15057702,3.766758,80.4235,3.852698,80.41581
15057703,3.76093,80.442642,3.849043,80.434456
15057704,3.724085,80.43985,3.812912,80.431877
15057705,3.716934,80.44397,3.805644,80.435844
15057706,3.853532,80.44236,3.939695,80.434303
15057707,3.747338,80.449554,3.834965,80.441277
15057708,3.7376,80.435127,3.826078,80.42717
15057709,3.735073,80.439957,3.823446,80.431877
15057710,3.750683,80.431679,3.839469,80.423622
15057711,3.605021,80.438805,3.696336,80.431068
15057712,3.478042,80.388306,3.56598,80.380081
15057713,3.704461,80.405434,3.794625,80.398003
15057714,3.708444,80.408806,3.798398,80.401291
15057715,3.730141,80.382866,3.81952,80.375427
15057716,3.864828,80.512993,3.950042,80.504303
15057717,3.911131,80.518311,3.997765,80.509392
15057718,3.778087,80.533691,3.861679,80.524712
15057719,3.819543,80.519547,3.903678,80.510628
15057720,3.920646,80.475388,4.006341,80.466629
12127927,27.707884,81.575119,27.827293,81.56237
12127928,27.756716,81.553993,27.879564,81.540581
12127929,28.234873,81.600441,28.368902,81.588303
12127930,28.278465,81.612434,28.41276,81.600388
12127931,27.55579,81.424316,27.677036,81.412346
12127932,27.623726,81.418518,27.742403,81.406815
12127933,27.576132,81.419159,27.69779,81.407211
12127934,27.772917,81.417542,27.891779,81.405807
12127935,28.501463,81.398537,28.614771,81.387405
12127936,28.081587,81.398628,28.197769,81.387245
12127937,28.087599,81.397949,28.203901,81.386421
12127938,28.057766,81.39373,28.174168,81.382706
12127939,28.435856,81.388916,28.550621,81.377739
12127940,28.865011,81.314117,28.983267,81.302597
12127941,28.848764,81.316582,28.966879,81.305046
12127942,28.880663,81.527534,29.003237,81.516289
12127943,28.86525,81.540115,28.990326,81.52932
12127944,28.937475,81.464989,29.052612,81.453735
12127945,28.212942,81.376724,28.327738,81.365715
12127946,28.04299,81.396523,28.159714,81.385376
12127947,28.063696,81.394859,28.180115,81.383827
6153586,16.371218,83.203316,16.587427,83.199341
6153587,15.736823,83.24218,15.945246,83.240807
6153588,15.797254,83.218155,16.00733,83.215996
6153589,15.560142,83.189178,15.754143,83.186195
6153590,15.954244,83.219421,16.171337,83.217018
6153591,15.952183,83.219566,16.16979,83.217117
6153592,15.810411,83.224281,16.022142,83.222565
6153593,16.031628,83.216377,16.246857,83.214363
6153594,16.151264,83.222099,16.366007,83.219574
6153595,16.27243,83.206497,16.488899,83.203026
6153596,16.335247,83.188492,16.553175,83.184677
6153597,16.133352,83.217537,16.351187,83.214592
6153598,16.696192,83.133347,16.907629,83.12825
6153599,16.601625,83.129494,16.809874,83.123764
6153600,16.431072,83.169968,16.64922,83.165398
6153601,16.376942,83.148674,16.587204,83.142883
6153602,16.506628,83.153992,16.721085,83.148796
6153603,16.594854,83.183777,16.812206,83.179588
6153604,16.634745,83.186996,16.850943,83.18248
6153605,16.47991,83.177956,16.698835,83.173782
6153606,17.977907,83.263618,18.194578,83.25946
3119978,29.245167,82.760986,29.379099,82.746193
3119979,29.238346,82.781471,29.370241,82.766914
3119980,29.338085,82.802116,29.466843,82.788483
3119981,29.338343,82.801491,29.466669,82.78788
3119982,28.623663,82.798584,28.7519,82.784927
3119983,28.575666,82.796631,28.702868,82.782997
3119984,28.61644,82.775398,28.743092,82.761841
3119985,28.744417,82.708832,28.876545,82.693748
3119986,28.748213,82.722801,28.879213,82.707466
3119987,28.74966,82.7258,28.880873,82.710503
3119988,28.788626,82.725471,28.918776,82.710152
3119989,28.994083,82.703629,29.123547,82.688385
3119990,28.960571,82.846466,29.092878,82.833138
3119991,28.74612,82.741447,28.875385,82.726578
3119992,28.828529,82.736694,28.957993,82.721741
3119993,28.928225,82.744049,29.060135,82.728813
3119994,28.606888,82.747215,28.734116,82.732986
3119995,28.826427,82.719551,28.957058,82.704071
3119996,28.849823,82.709396,28.980505,82.694122
3119997,28.979708,82.704903,29.109192,82.689659
3119998,29.765297,82.752388,29.883228,82.737465
9160440,37.915257,81.894623,37.975742,81.877808
9160441,37.902313,81.896202,37.963058,81.87941
9160442,37.904678,81.894623,37.965416,81.877853
9160443,37.874985,81.896263,37.935734,81.879501
9160444,36.823914,81.858139,36.905121,81.84272
9160445,36.796879,81.862206,36.878132,81.846764
9160446,37.012489,81.813141,37.093494,81.798561
9160447,37.011765,81.813148,37.093494,81.798561
9160448,37.240826,81.832085,37.312916,81.816719
9160449,36.383221,81.777824,36.465336,81.764351
9160450,36.177357,81.809929,36.264263,81.79612
9160451,37.318359,81.930626,37.390926,81.913345
9160452,37.259567,81.95562,37.334351,81.937813
9160453,37.208897,81.953186,37.284393,81.935356
9160454,37.299774,82.045013,37.371326,82.02684
9160455,37.216438,82.030243,37.290359,82.012245
9160456,37.192982,81.995033,37.270172,81.977211
9160457,37.67905,81.947739,37.740314,81.930588
9160458,37.634995,81.944244,37.698475,81.927155
9160459,37.569424,81.943321,37.632896,81.926224
9160460,37.564537,81.942116,37.628159,81.925133
28525,5.128482,80.513344,5.22752,80.505478
28526,5.198561,80.535851,5.29508,80.527924
28527,5.202681,80.524017,5.299812,80.516113
28528,5.320631,80.543343,5.417413,80.535187
