Months;Hydroelectric;Nuclear;Coal;Combined Cycle;Wind;Thermal;Other non renewable;Other renewable
January;8.5;21.9;21.4;12.1;19.8;10.1;2.1;4.1
February;9.8;23.8;16.6;7.6;24.5;11.2;2.3;4.2
March;13.4;26.2;8.9;7.2;23.3;12.1;2.2;6.7
April;9.4;27.1;10.5;6.9;23;12.2;2;8.9
May;10.1;21.7;18.5;8.5;18;12;1.8;9.4
June;7.8;19.4;20.5;15.2;15.1;11.3;1.4;9.3
July;5.6;20.5;18.8;17.3;15.6;11;1.4;9.8
August;5.3;25;14.6;17.1;16.2;11;1.7;9.1
September;6.2;24.7;14.8;16.8;14.7;12.1;1.7;9
October;4.1;21.2;19.3;19.1;15.7;11.8;1.8;7
November;3.9;16.7;21.6;21.1;18.3;11.3;2;5.1
December;5.4;21.7;17.9;13.2;24.8;10.8;2.2;4
